"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"422 Concord Drive","Menlo Park","   7900"," 1599000"," 2757.000"," 3284679","528.0201","0.2591201492"," 1"
"250 Catalpa Drive","Atherton","  40915"," 5295000"," 6656.000"," 9433674","522.5836","0.2031756755"," 0"
"2066 Louise Lane","Los Altos","  13692"," 1995000"," 3536.600"," 4079975","508.7871","0.2416234767"," 4"
"3787 Starr King Circle","Palo Alto","   6365"," 1800000"," 2341.520"," 3195138","500.3067","0.1874247607"," 4"
"19000 Overlook Road","Los Gatos"," 190026"," 1300000"," 4231.500"," 3624985","489.4803","0.3120457880"," 4"
"17017 BOHLMAN Road","Saratoga"," 290999"," 1678000"," 4800.000"," 4327573","488.8840","0.2907771409"," 2"
"207 Felton Drive","Menlo Park","   8325"," 2199000"," 3823.396"," 4364976","486.5904","0.2132112892"," 0"
"731 El Cerrito Avenue","Hillsborough","  42400"," 3025000"," 6487.000"," 6552262","473.0390","0.2258059248"," 0"
"5103 Englewood Drive","San Jose","   7067"," 1250000"," 2756.215"," 2697364","456.6219","0.2078535115"," 3"
"65 N Avalon Drive","Los Altos","  13056"," 2998000"," 3997.100"," 5171071","453.1024","0.1458057524"," 4"
"905 Sherman Avenue","Menlo Park","   5500"," 1850000"," 2470.121"," 3184748","450.1056","0.1431006289"," 4"
"2151 Byron Street","Palo Alto","   6600"," 3988000"," 3783.312"," 6118883","450.0187","0.1107882831"," 0"
"122 Whitney Avenue","Los Gatos","  15000"," 1499000"," 4231.500"," 3624985","442.4521","0.2177341292"," 4"
"20 Cordova Court","Portola Valley","  58806"," 3998000"," 5851.000"," 7060207","438.8980","0.1412567048"," 0"
"12516 Robleda Road","Los Altos Hills","  47641"," 3150000"," 5440.306"," 5939162","436.2660","0.1550218391"," 4"
"3341 Louis Road","Palo Alto","   7167"," 2098000"," 2514.800"," 3431588","434.7769","0.1188235585"," 5"
"175 Greenoaks Drive","Atherton","  41125"," 5895000"," 6656.000"," 9433674","432.4394","0.1117002953"," 0"
"100 Phillip Road","Woodside"," 136778"," 6995000"," 8504.000","11475162","432.3731","0.1179213727"," 0"
"83 Tuscaloosa Avenue","Atherton","  42000","10998000","11165.532","17003348","431.2480","0.1021389081"," 1"
"172 Orchard Avenue","Redwood City","   4750","  889000"," 2216.256"," 1975061","427.6611","0.1820799070"," 3"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4327573","422.2173","0.1706349987"," 2"
"222 Camino Al Lago","Atherton","  49658","11900000","11962.000","18216244","421.4267","0.0937790762"," 3"
"1107 Fairwood Avenue","Sunnyvale","   6050","  925000"," 2184.558"," 1979032","419.0777","0.1646023459","34"
"735 Saratoga Avenue","San Jose","   7000"," 1350000"," 2730.084"," 2671791","415.6521","0.1455677239"," 2"
"1090 Cedar Street","San Carlos","   6050"," 1449950"," 2937.400"," 2866160","413.8281","0.1434295157"," 3"
"22541 Mount Eden Road","Saratoga","  15638"," 1798000"," 4214.833"," 3800000","411.8787","0.1539780291","11"
"3436 Greer Road","Palo Alto","   6757"," 2150000"," 2485.727"," 3391916","404.1000","0.0893609259"," 5"
"65 Selby Lane","Atherton","  40075","10800000","10653.778","16224028","402.5188","0.0780367398"," 2"
"1357 Bernal Avenue","Burlingame","   6000"," 1599000"," 2990.000"," 2996421","397.2145","0.1164549034"," 5"
"2212 San Carlos Avenue","San Carlos","   6500"," 1198000"," 2529.306"," 2354780","392.1809","0.1191509953"," 1"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3076.000"," 3010320","390.3114","0.1101585632"," 5"
"355 Lloyden Park Lane","Atherton","  11718"," 2468000"," 4110.424"," 4376031","389.6700","0.0995863419"," 2"
"1040 Continental Drive","Menlo Park","  16764"," 2998000"," 4730.500"," 5202239","388.9826","0.0952950167"," 2"
"582 Madrone Avenue","Sunnyvale","   5460","  899000"," 1971.518"," 1786035","386.5106","0.1144330043","51"
"2615 Summit Drive","Hillsborough","  25265"," 3185000"," 6256.087"," 6000000","382.8271","0.1023689386"," 0"
"28190 Radcliffe Lane","Los Altos Hills","  44152"," 3195000"," 5041.884"," 5504206","381.5858","0.0873798394"," 5"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4519.382"," 6882308","379.5975","0.0595501634"," 0"
"1014 Mercedes Avenue","Los Altos","   9525"," 2438000"," 2957.244"," 3825803","378.7298","0.0700184005"," 7"
"755 Partridge Avenue","Menlo Park","   4450"," 2188000"," 2364.200"," 3308076","375.8188","0.0618690638"," 0"
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3076.000"," 3010320","373.7318","0.0881525781"," 5"
