"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"0.1378415","ML81639050"," 0.2635572"," 4121.508"," 1798000"," 900.7889"," 3034452"," 3712608"," 418273.4","  15638","62","26","22541 Mount Eden Road","17","95070","Saratoga","Santa Clara"," 944","927","  927","29134","260","258"," 258","7981"
"0.1337869","ML81641214"," 0.1139545"," 5696.800"," 3395000","1092.2740"," 5104040"," 6222466"," 682853.7","  69721","42","7","27408 Deer Springs Way","221","94022","Los Altos Hills","Santa Clara"," 292","545","  286","29134"," 88","151","  87","7981"
"0.1320474","ML81642468"," 0.3762650"," 2371.500"," 1498000","1134.0774"," 2209450"," 2689465"," 291752.1","   7500","83","7","260 Franklin Street","207","94041","Mountain View","Santa Clara"," 106","129","  652","29134"," 32"," 40"," 177","7981"
"0.1303668","ML81642577"," 0.3271162"," 2407.600"," 1998000","1373.3009"," 2720280"," 3306359"," 354634.2","   9000","68","6","156 Monroe Drive","233","94306","Palo Alto","Santa Clara"," 287","435"," 1098","29134"," 82","124"," 320","7981"
"0.1235461","ML81641159"," 0.1110160"," 8562.500"," 6995000","1349.3841"," 9563750","11554101","1181564.2"," 136778","20","7","100 Phillip Road","274","94062","Woodside","San Mateo","  76","859","  246","12666"," 19","223","  54","3418"
"0.1230902","ML81643408"," 0.3795008"," 3084.400"," 1580000"," 980.8988"," 2505320"," 3025484"," 308380.3","  11495","60","0","1155 Happy Valley Avenue","18","95129","San Jose","Santa Clara","1334","527","16081","29134","335","132","4378","7981"
"0.1209419","ML81642848"," 0.2659230","12024.000","11900000","1554.4780","15507200","18691044","1875470.8","  49658","65","5","222 Camino Al Lago","291","94027","Atherton","San Mateo"," 102","252","  248","12666"," 25"," 61","  58","3418"
"0.1150219","ML81641170"," 0.1551724"," 5700.000"," 3995000","1200.0000"," 5705000"," 6840000"," 656200.0","  48643","49","7","155 Willowbrook Drive","263","94028","Portola Valley","San Mateo","  71","181","  180","12666"," 17"," 50","  50","3418"
"0.1146369","ML81583584"," 0.3795008"," 3084.400"," 1599000"," 980.8988"," 2524320"," 3025484"," 289380.3","  73468","66","310","15040 Montebello Road","18","95014","Cupertino","Santa Clara","1334","801","  801","29134","335","202"," 202","7981"
"0.1144359","ML81612044"," 0.1551724"," 5700.000"," 3998000","1200.0000"," 5708000"," 6840000"," 653200.0","  58806","58","196","20 Cordova Court","263","94028","Portola Valley","San Mateo","  71","181","  180","12666"," 17"," 50","  50","3418"
"0.1105200","ML81642079"," 0.4498847"," 4487.600"," 3495000","1288.2184"," 4841280"," 5781009"," 535058.3","   9975","64","5","1360 Elder Avenue","303","94025","Menlo Park","San Mateo"," 139","969","  974","12666"," 38","249"," 252","3418"
"0.1077496","ML81642609"," 0.4019678"," 2743.400"," 2385000","1392.8571"," 3208020"," 3821164"," 345662.8","   8100","70","6","3884 Magnolia Drive","232","94306","Palo Alto","Santa Clara","  83","435"," 1098","29134"," 23","124"," 320","7981"
"0.1006777","ML81640246"," 0.2659230","10656.864","10800000","1554.4780","13997059","16565861","1409191.8","  40075","11","14","65 Selby Lane","291","94027","Atherton","San Mateo"," 102","252","  248","12666"," 25"," 61","  58","3418"
