"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"654 Willis Avenue","San Jose","   5800","  695000"," 2424.977"," 1610411","331.0061","0.0528572426","534","454","4379","7974","33","ML81640533, ML81636230, ML81636393, ML81634567, ML81632643, ML81630119, ML81629717, ML81629318, ML81630568, ML81630453, ML81626340, ML81626696, ML81614306, ML81614332, ML81601347, ML81599634, ML81597122, ML81594718, ML81595557, ML81591562, ML81594834, ML81592542, ML81583610, ML81580040, ML81583400, ML81580914, ML81584677, ML81581173, ML81578585, ML81578788, ML81577718, ML81579777, ML81565252"
"18676 Martha Avenue","Saratoga","  11060"," 1480888"," 2902.938"," 2620497","329.3815","0.0362674257","260","257"," 257","7974","37","ML81641070, ML81636861, ML81639094, ML81637863, ML81637977, ML81636286, ML81634725, ML81629697, ML81626107, ML81615161, ML81614155, ML81612983, ML81612319, ML81598088, ML81599403, ML81596183, ML81596791, ML81597085, ML81597003, ML81593281, ML81592661, ML81593500, ML81590892, ML81591576, ML81589247, ML81590412, ML81589942, ML81585892, ML81585962, ML81589129, ML81583581, ML81580953, ML81577331, ML81577256, ML81577992, ML81565221, ML81565427"
"2150 Dartmouth Street","Palo Alto","   4375"," 2495000"," 2208.125"," 3458251","326.5999","0.0186024018"," 18","124"," 321","7974"," 0",""
"848 S Springer Road","Los Altos","  10206"," 2199000"," 2953.798"," 3401687","326.5520","0.0254216533","117","189"," 258","7974"," 7","ML81636619, ML81613128, ML81614523, ML81581442, ML81582693, ML81580044, ML81579875"
"1090 Cedar Street","San Carlos","   6050"," 1449950"," 2483.046"," 2422825","323.5048","0.0265909208"," 32","243"," 243","3417"," 4","ML81628567, ML81613977, ML81614600, ML81614499"
"31 Maddux Avenue","San Francisco","   2596","  700000"," 2292.075"," 1546644","322.1442","0.0365777628","177"," 13"," 162"," 162"," 3","ML81627811, ML81595092, ML81577135"
"35 Sugar Hill Drive","Hillsborough","  30750"," 3890000"," 6424.769"," 6401905","321.2211","0.0234366104","  5","251"," 100","3417"," 0",""
"618 Manzanita Way","Woodside"," 116366"," 7995000"," 8562.500","11554101","321.2046","0.0171874807"," 19","223","  53","3417"," 0",""
"21290 Blue Hills Drive","Saratoga","  61288"," 2488000"," 4800.000"," 4332984","321.1823","0.0258847103","260","257"," 257","7974"," 2","ML81631190, ML81627495"
"698 Hollingsworth Drive","Los Altos","  13832"," 3485000"," 3918.300"," 5098878","320.7913","0.0174802651"," 84","154"," 258","7974"," 4","ML81635638, ML81589782, ML81586147, ML81581412"
