"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"0.1550218","ML81643383","0.1141938"," 5440.306"," 3150000","1091.6962"," 4782091.9"," 5939162"," 741328.7","  47641","64","7","12516 Robleda Road","221","94022","Los Altos Hills","Santa Clara"," 298"," 565","  292","33774"," 84","151","  83","9210"," 4","ML81630444, ML81589560, ML81582697, ML81459009"
"0.1539780","ML81639050","0.2695251"," 4214.833"," 1798000"," 901.5778"," 3062450.0"," 3800000"," 471550.0","  15638","62","26","22541 Mount Eden Road","17","95070","Saratoga","Santa Clara"," 993"," 977","  977","33774","267","264"," 264","9210","11","ML81638652, ML81627900, ML81600800, ML81599073, ML81595620, ML81591667, ML81580910, ML81565932, ML81578006, ML81563726, ML81548291"
"0.1458058","ML81644285","0.3104718"," 3997.100"," 2998000","1293.7056"," 4197130.0"," 5171071"," 611965.7","  13056","65","7","65 N Avalon Drive","211","94022","Los Altos","Santa Clara"," 332"," 565","  941","33774"," 84","151"," 259","9210"," 4","ML81635638, ML81589782, ML81586147, ML81581412"
"0.1455677","ML81643890","0.3900120"," 2730.084"," 1350000"," 978.6477"," 2169025.3"," 2671791"," 315740.1","   7000","62","1","735 Saratoga Avenue","18","95129","San Jose","Santa Clara","1411"," 544","18186","33774","353","136","4946","9210"," 2","ML81638010, ML81601358"
"0.1434295","ML81643894","0.4906410"," 2937.400"," 1449950"," 975.7472"," 2331170.0"," 2866160"," 334358.6","   6050","77","4","1090 Cedar Street","353","94070","San Carlos","San Mateo"," 103"," 854","  854","13995"," 32","250"," 250","3784"," 3","ML81628567, ML81591436, ML81582971"
"0.1431006","ML81643064","0.4491130"," 2470.121"," 1850000","1289.3082"," 2591036.4"," 3184748"," 370778.9","   5500","71","2","905 Sherman Avenue","303","94025","Menlo Park","San Mateo"," 141","1030"," 1035","13995"," 39","262"," 265","3784"," 4","ML81637895, ML81636965, ML81633370, ML81580409"
"0.1423875","ML81637434","0.5327618"," 2243.993","  290000"," 527.2597","  963197.8"," 1183167"," 137147.4","   4212","75","11","9951 Saint Elmo Drive","27","94603","Oakland","Alameda","3046","  24","  153"," 3317","863","  6","  36"," 922","28","ML81639417, ML81636851, ML81630564, ML81625556, ML81627662, ML81626272, ML81612474, ML81611632, ML81598496, ML81597161, ML81599510, ML81593691, ML81593214, ML81589166, ML81587347, ML81590773, ML81589612, ML81580990, ML81583991, ML81581184, ML81581365, ML81581584, ML81581735, ML81580844, ML81578845, ML81578105, ML81579052, ML81580203"
"0.1412567","ML81612044","0.1537972"," 5851.000"," 3998000","1206.6667"," 5753300.0"," 7060207"," 812692.2","  58806","58","196","20 Cordova Court","263","94028","Portola Valley","San Mateo","  76"," 218","  217","13995"," 19"," 64","  64","3784"," 0",""
"0.1191510","ML81643991","0.3891240"," 2529.306"," 1198000"," 930.9986"," 1956791.7"," 2354780"," 233153.7","   6500","70","2","2212 San Carlos Avenue","355","94070","San Carlos","San Mateo"," 150"," 854","  854","13995"," 50","250"," 250","3784"," 1","ML81585571"
"0.1188236","ML81644488","0.3678743"," 2514.800"," 2098000","1364.5571"," 2852440.0"," 3431588"," 338937.1","   7167","65","6","3341 Louis Road","233","94303","Palo Alto","Santa Clara"," 305"," 710"," 1138","33774"," 87","199"," 329","9210"," 5","ML81641475, ML81629885, ML81631412, ML81631320, ML81627399"
"0.1179214","ML81641159","0.1085430"," 8504.000"," 6995000","1349.3841"," 9546200.0","11475162","1125701.0"," 136778","20","7","100 Phillip Road","274","94062","Woodside","San Mateo","  79"," 900","  264","13995"," 19","228","  57","3784"," 0",""
"0.1164549","ML81643831","0.4983333"," 2990.000"," 1599000","1002.1475"," 2496000.0"," 2996421"," 290671.4","   6000","110","5","1357 Bernal Avenue","466","94010","Burlingame","San Mateo"," 161","1002","  617","13995"," 33","262"," 159","3784"," 5","ML81632978, ML81611553, ML81589755, ML81578060, ML81580161"
"0.1144330","ML81645446","0.3610839"," 1971.518","  899000"," 905.9187"," 1490455.5"," 1786035"," 170557.3","   5460","66","0","582 Madrone Avenue","19","94085","Sunnyvale","Santa Clara","1875"," 258"," 1877","33774","486"," 57"," 486","9210","51","ML81639176, ML81638779, ML81638786, ML81636915, ML81636677, ML81634647, ML81635048, ML81631343, ML81627916, ML81626297, ML81627148, ML81626326, ML81628169, ML81614276, ML81614208, ML81613204, ML81613153, ML81613184, ML81598224, ML81598073, ML81599295, ML81598182, ML81598220, ML81596102, ML81596104, ML81598178, ML81595616, ML81592133, ML81591829, ML81594858, ML81590916, ML81591639, ML81593728, ML81587857, ML81588260, ML81588267, ML81589478, ML81589512, ML81585287, ML81582418, ML81584976, ML81583685, ML81581829, ML81581239, ML81579904, ML81578833, ML81577823, ML81577625, ML81577180, ML81566531, ML81642392"
"0.1117003","ML81645041","0.1634046"," 6656.000"," 5895000","1417.3187"," 7891800.0"," 9433674"," 881516.4","  41125","63","2","175 Greenoaks Drive","293","94027","Atherton","San Mateo","  46"," 255","  251","13995","  9"," 60","  57","3784"," 0",""
"0.1107883","ML81644314","0.5732290"," 3783.312"," 3988000","1617.3352"," 5122993.5"," 6118883"," 567567.7","   6600","81","7","2151 Byron Street","237","94301","Palo Alto","Santa Clara"," 109"," 349"," 1138","33774"," 28","101"," 329","9210"," 0",""
"0.1101586","ML81583584","0.3900120"," 3076.000"," 1599000"," 978.6477"," 2521800.0"," 3010320"," 277797.9","  73468","66","310","15040 Montebello Road","18","95014","Cupertino","Santa Clara","1411"," 862","  862","33774","353","217"," 217","9210"," 5","ML81628111, ML81601358, ML81596058, ML81590614, ML81564131"
"0.1023689","ML81643905","0.2476187"," 6256.087"," 3185000","1010.0605"," 5061826.2"," 6000000"," 518173.8","  25265","44","6","2615 Summit Drive","451","94010","Hillsborough","San Mateo","  16","1002","  384","13995","  3","262"," 103","3784"," 0",""
"0.1021389","ML81643754","0.2658460","11165.532","10998000","1522.8426","14347659.6","17003348","1465454.3","  42000","16","5","83 Tuscaloosa Avenue","291","94027","Atherton","San Mateo"," 103"," 255","  251","13995"," 25"," 60","  57","3784"," 1","ML81615037"
