"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"0.1342481","ML81644655"," 0.34327976"," 2076.843","  925000"," 909.0909"," 1548053"," 1888039"," 207823.2","   6050","59","6","1107 Fairwood Avenue","19","94089","Sunnyvale","Santa Clara","1816","179"," 1817","29572","467"," 43"," 467","7942","43","ML81640039, ML81642152, ML81637356, ML81638779, ML81637384, ML81638786, ML81638986, ML81635394, ML81634647, ML81635048, ML81633772, ML81615401, ML81627916, ML81628189, ML81626297, ML81627256, ML81614276, ML81613204, ML81613153, ML81597179, ML81598224, ML81595733, ML81598073, ML81599295, ML81598182, ML81598220, ML81596102, ML81592133, ML81586216, ML81587857, ML81585871, ML81588260, ML81588267, ML81589478, ML81585287, ML81585108, ML81585497, ML81584976, ML81583685, ML81578644, ML81579904, ML81578833, ML81642392"
"0.1293340","ML81643890"," 0.37911372"," 2653.796"," 1350000"," 982.0412"," 2146139"," 2606137"," 277568.7","   7000","62","1","735 Saratoga Avenue","18","95129","San Jose","Santa Clara","1361","541","16314","29572","336","132","4367","7942"," 0",""
"0.1287587","ML81641159"," 0.11101597"," 8562.500"," 6995000","1355.6444"," 9563750","11607705","1231416.1"," 136778","20","7","100 Phillip Road","274","94062","Woodside","San Mateo","  76","869","  247","12830"," 18","219","  51","3413"," 0",""
"0.1234042","ML81645041"," 0.16340458"," 6656.000"," 5895000","1432.2402"," 7891800"," 9532991"," 973881.5","  41125","63","2","175 Greenoaks Drive","293","94027","Atherton","San Mateo","  46","255","  251","12830","  9"," 59","  56","3413"," 0",""
"0.1228919","ML81645109"," 0.14501824"," 1812.728","  529000"," 714.5763"," 1072818"," 1295332"," 131840.7","  12500","92","2","1 Fremont Way","273","94062","Woodside","San Mateo","  63","869","  247","12830"," 19","219","  51","3413"," 2","ML81638304, ML81588189"
"0.1221177","ML81644947"," 0.40692174"," 2441.530"," 1008000"," 870.6294"," 1740459"," 2100000"," 212540.9","   6000","57","4","1861 Bahia Street","422","94403","San Mateo","San Mateo","  14","730"," 1751","12830","  2","203"," 476","3413"," 0",""
"0.1212029","ML81644752"," 0.42362667"," 2012.227","  889000"," 894.3089"," 1492668"," 1799552"," 180915.6","   4750","61","5","172 Orchard Avenue","332","94061","Redwood City","San Mateo"," 219","784"," 1694","12830"," 65","237"," 472","3413"," 5","ML81640704, ML81637839, ML81595539, ML81587999, ML81565839"
"0.1191510","ML81643991"," 0.38912396"," 2529.306"," 1198000"," 930.9986"," 1956792"," 2354780"," 233153.7","   6500","70","2","2212 San Carlos Avenue","355","94070","San Carlos","San Mateo"," 150","837","  837","12830"," 50","246"," 246","3413"," 1","ML81585571"
"0.1183614","ML81583584"," 0.37911372"," 3095.000"," 1599000"," 982.0412"," 2527500"," 3039418"," 299158.3","  73468","66","310","15040 Montebello Road","18","95014","Cupertino","Santa Clara","1361","816","  816","29572","336","204"," 204","7942"," 4","ML81628111, ML81596058, ML81590614, ML81564131"
"0.1180413","ML81612044"," 0.15489738"," 5687.000"," 3998000","1205.8098"," 5704100"," 6857440"," 673319.6","  58806","58","196","20 Cordova Court","263","94028","Portola Valley","San Mateo","  72","182","  181","12830"," 17"," 49","  49","3413"," 0",""
"0.1135868","ML81643754"," 0.26584600","11165.532","10998000","1538.6603","14347660","17179961","1629704.4","  42000","16","5","83 Tuscaloosa Avenue","291","94027","Atherton","San Mateo"," 103","255","  251","12830"," 24"," 59","  56","3413"," 1","ML81615037"
"0.1107883","ML81644314"," 0.57322903"," 3783.312"," 3988000","1617.3352"," 5122993"," 6118883"," 567567.7","   6600","81","7","2151 Byron Street","237","94301","Palo Alto","Santa Clara"," 109","345"," 1115","29572"," 28"," 99"," 321","7942"," 0",""
"0.1095854","ML81643974"," 0.38335675"," 4822.000"," 2998000","1099.7229"," 4444600"," 5302864"," 487063.3","  16764","53","2","1040 Continental Drive","301","94025","Menlo Park","San Mateo","  61","979","  984","12830"," 13","249"," 252","3413"," 2","ML81588773, ML81589307"
"0.1092793","ML81643831"," 0.49833333"," 2990.000"," 1599000"," 995.7065"," 2496000"," 2977162"," 272761.1","   6000","110","5","1357 Bernal Avenue","466","94010","Burlingame","San Mateo"," 161","999","  615","12830"," 32","260"," 158","3413"," 4","ML81632978, ML81611553, ML81589755, ML81580161"
"0.1051401","ML81642848"," 0.26584600","11962.000","11900000","1538.6603","15488600","18405455","1628473.1","  49658","65","5","222 Camino Al Lago","291","94027","Atherton","San Mateo"," 103","255","  251","12830"," 24"," 59","  56","3413"," 2","ML81611989, ML81578292"
"0.1023689","ML81643905"," 0.24761874"," 6256.087"," 3185000","1004.8051"," 5061826"," 6000000"," 518173.8","  25265","44","6","2615 Summit Drive","451","94010","Hillsborough","San Mateo","  16","999","  383","12830","  3","260"," 102","3413"," 0",""
