"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 123.62","24","221","Los Altos Hills","5","0","4","Santa Clara","314","","$5,385,000","04/09/2015","43,560","ML81459009","336-40-103","Los Altos Hills","1,098.98","05/19/2016","$5,385,000","4,900","Sold","25610 Frampton Court","1991","94024","RA"
"$ 171.37","57","441","Brewer Subdivision/Upland","5","1","5","San Mateo","44","","$5,400,000","04/10/2015","30,928","ML81459274","032-380-100","Hillsborough","1,088.30","05/24/2015","$5,300,000","4,870","Sold","100 Rockridge Road","1958","94010","R10000"
"$ 100.10","4","263","Central Portola Valley","3","0","5","San Mateo","5","","$4,295,000","03/16/2015","51,400","ML81455205","079-140-230","Portola Valley","1,183.03","03/21/2015","$5,145,000","4,349","Sold","4860 Alpine Road","2011","94028","R1001A"
"$ 89.37","11","444","Tobin Clark Estate / Polo Terrace","5","1","5","San Mateo","12","","$5,298,000","03/16/2015","57,063","ML81455285","034-311-260","Hillsborough","886.49","03/28/2015","$5,100,000","5,753","Sold","808 Clydesdale Drive","2004","94010","R1"
"$ 177.87","0","450","Skyfarm","5","1","5","San Mateo","394","","$5,000,000","03/19/2015","28,111","ML81455864","030-021-070","Hillsborough","903.51","","","5,534","Expired","762 Chateau Drive","2015","94010","R10025"
"$ 444.44","115","242","Downtown Palo Alto","2","1","3","Santa Clara","8","","$4,288,000","03/25/2015","11,250","ML81456856","120-09-057","Palo Alto","1,984.91","04/02/2015","$5,000,000","2,519","Sold","101 Waverley Street","1900","94301","R1"
"$ 169.23","14","441","Brewer Subdivision/Upland","5","1","4","San Mateo","8","","$4,998,000","03/25/2015","29,534","ML81457258","031-370-340","Hillsborough","1,067.95","04/02/2015","$4,998,000","4,680","Sold","16 Farm Lane","2001","94010","R1"
"$ 84.69","26","444","Tobin Clark Estate / Polo Terrace","4","1","6","San Mateo","119","","$4,980,000","03/27/2015","58,806","ML81457405","038-102-080","Hillsborough","830.00","","","6,000","Canceled","30 Brooke Court","1989","94010","r10000"
"$ 156.87","5","351","Beverly Terrace Etc.","5","1","5","San Mateo","88","100","$4,980,000","04/10/2015","31,747","ML81459450","049-020-520","San Carlos","764.98","","","6,510","Canceled","168 Queens Court","2010","94070","R100"
"$ 217.44","87","221","Los Altos Hills","2","0","3","Santa Clara","97","","$4,975,000","03/25/2015","22,880","ML81456852","175-03-009","Los Altos Hills","1,514.46","","","3,285","Canceled","14700 Manuella","1928","94022","R1"
"$ 187.44","17","221","Los Altos Hills","3","2","3","Santa Clara","8","","$4,998,000","04/09/2015","25,875","ML81459063","175-28-017","Los Altos Hills","1,256.80","04/17/2015","$4,850,000","3,859","Sold","13640 Burke Road","1998","94022","R1"
"$ 0.86","115","555","San Gregorio","2","0","5","San Mateo","258","","$4,800,000","04/14/2015","5,549,980","ML81459845","081-350-150","San Gregorio","1,920.00","","","2,500","Canceled","2015 Bear Gulch Road","1900","94074","RM"
"$ 212.35","0","445","Lakeview","5","1","5","San Mateo","135","","$4,950,000","03/18/2015","21,780","ML81455714","038-081-030","Hillsborough","1,021.65","07/31/2015","$4,625,000","4,527","Sold","1520 Kingswood Drive","2015","94010","R10025"
"$ 197.85","7","446","Carolands Etc.","4","2","5","San Mateo","12","","$4,489,000","04/12/2015","23,250","ML81459502","030-022-050","Hillsborough","855.65","04/24/2015","$4,600,000","5,376","Sold","630 Pullman Road","2008","94010","R1"
"$ 617.08","0","234","Midtown","4","1","5","Santa Clara","21","","$4,588,000","04/01/2015","7,435","ML81457805","132-02-023","Palo Alto","1,539.60","","","2,980","Canceled","2570 Webster Street","2015","94301","R1"
