"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 55.74","34","221","Los Altos Hills","3","1","5","27","","$3,888,000","03/19/2014","67,100","ML81408759","175-37-031","Los Altos Hills","716.48","04/15/2014","$3,740,000","5,220","Sold","12900 ATHERTON Court","1980","94022","RA"
"$ 84.92","37","17","Saratoga","4","0","4","43","","$3,699,000","03/25/2014","43,560","ML81409519","397-06-081","Saratoga","672.55","","","5,500","Canceled","14673 QUITO Road","1977","95070","R140"
"$ 84.48","61","16","Los Gatos/Monte Sereno","4","0","4","8","","$3,589,000","03/25/2014","43,560","ML81409531","410-28-002","Monte Sereno","738.51","04/02/2014","$3,680,000","4,983","Sold","18130 CONSTITUTION Avenue","1953","95030","R144"
"$ 74.82","52","263","Central Portola Valley","2","0","4","9","","$3,299,000","03/19/2014","48,787","ML81408749","077-223-130","Portola Valley","1,188.93","03/28/2014","$3,650,000","3,070","Sold","250 CERVANTES Road","1962","94028","R1"
"$ 456.25","10","234","Midtown","4","1","4","14","","$2,988,000","04/09/2014","8,000","ML81411682","132-15-069","Palo Alto","1,312.48","04/23/2014","$3,650,000","2,781","Sold","3193 SOUTH Court","2004","94306","R1"
"$ 80.35","56","263","Central Portola Valley","2","1","5","10","","$3,495,000","03/16/2014","44,867","ML81408347","077-033-040","Portola Valley","927.93","03/26/2014","$3,605,000","3,885","Sold","110 SHAWNEE Pass","1958","94028","R1"
"$ 113.50","61","307","Menlo Oaks Area","3","0","4","1","","$3,100,000","04/07/2014","31,621","ML81411288","062-172-140","Menlo Park","1,135.76","04/08/2014","$3,589,000","3,160","Sold","528 BERKELEY Avenue","1953","94025","R10S"
"$ 81.74","55","292","Middlefield to El Camino Atherton","3","0","4","10","","$3,198,000","03/17/2014","43,430","ML81408376","060-242-010","Atherton","1,109.38","03/27/2014","$3,550,000","3,200","Sold","145 FAIR OAKS Lane","1959","94027","R1001"
"$ 229.03","85","440","Hillsborough Heights","3","0","3","11","","$3,495,000","04/06/2014","15,500","ML81411240","031-184-050","Hillsborough","983.38","04/17/2014","$3,550,000","3,610","Sold","340 GLENDALE Road","1929","94010","R1"
"$ 98.19","21","16","Los Gatos/Monte Sereno","4","3","5","14","","$3,699,000","04/07/2014","36,155","ML81411296","410-37-014","Monte Sereno","570.01","04/21/2014","$3,550,000","6,228","Sold","15449 BANYAN Lane","1993","95030","MS"
"$ 233.33","90","239","Crescent Park","3","1","4","12","","$3,499,000","04/02/2014","15,000","ML81410628","003-06-035","Palo Alto","1,146.41","04/14/2014","$3,500,000","3,053","Sold","1307 UNIVERSITY Avenue","1924","94301","R1929"
"$ 415.24","35","304","Allied Arts / Downtown","3","0","4","113","","$3,488,000","04/10/2014","8,400","ML81412018","071-395-140","Menlo Park","1,085.93","","","3,212","Expired","220 YALE Road","1979","94025","R1"
