"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 194.38","3","207","Downtown Mountain View","3","0","3","89","","$850,000","12/21/2011","4,414","ML81150934","Mountain View","548.24","03/19/2012","$858,000","1,565","Sold","290 CHIQUITA Avenue","2009","94041","R32"
"$ 194.84","3","204","Rengstorff","3","0","4","14","105","$800,000","08/06/2010","4,106","ML81039154","Mountain View","479.04","08/20/2010","$800,000","1,670","Sold","1942 CAPPELLETTI Court","2007","94043","R-3"
"$ 441.89","4","209","Miramonte","2","1","4","11","","$1,748,000","09/25/2013","4,526","ML81335624","Mountain View","820.34","10/06/2013","$2,000,000","2,438","Sold","925 VALENCIA Avenue","2009","94040","R1"
"$ 263.63","4","207","Downtown Mountain View","3","0","4","8","","$1,798,000","02/27/2013","7,245","ML81306115","Mountain View","795.83","03/07/2013","$1,910,000","2,400","Sold","668 EHRHORN Avenue","2009","94041","R1"
"$ 761.35","4","209","Miramonte","2","1","4","8","50","$1,395,000","12/10/2013","2,049","ML81342835","Mountain View","717.90","12/18/2013","$1,560,000","2,173","Sold","937 RINCON Street","2009","94040","R1"
"$ 312.04","4","207","Downtown Mountain View","3","0","4","5","","$1,495,000","03/20/2012","4,791","ML81210348","Mountain View","743.41","03/25/2012","$1,495,000","2,011","Sold","555 CALIFORNIA Street","2008","94041","R2"
"$ 307.88","4","209","Miramonte","2","1","3","230","39","$1,398,000","10/31/2013","4,807","ML81339553","Mountain View","881.48","12/17/2013","$1,480,000","1,679","Sold","936 VALENCIA Avenue","2009","94040","R1"
"$ 292.86","4","207","Downtown Mountain View","3","0","4","2","","$1,349,999","09/29/2012","4,900","ML81235914","Mountain View","678.49","10/01/2012","$1,435,000","2,115","Sold","545 SIERRA Avenue","2008","94041","R1"
"$ 687.35","4","209","Miramonte","2","1","4","7","49","$1,398,000","06/19/2013","2,047","ML81321985","Mountain View","647.49","06/26/2013","$1,407,000","2,173","Sold","943 RINCON Street","2009","94040","R1"
"$ 186.93","4","207","Downtown Mountain View","4","0","6","7","","$1,398,000","01/05/2012","7,500","ML81200373","Mountain View","528.06","01/12/2012","$1,402,000","2,655","Sold","629 MOUNTAIN VIEW Avenue","2008","94041","R1"
"$ 291.30","4","209","Miramonte","2","1","3","82","38","$1,400,000","05/01/2013","4,806","ML81314604","Mountain View","834.33","","","1,678","Canceled","936 VALENCIA Avenue","2009","94040","R1"
"$ 244.67","4","209","Miramonte","2","0","3","8","","$1,398,000","06/01/2011","5,632","ML81124224","Mountain View","675.49","06/09/2011","$1,378,000","2,040","Sold","2121 CREEDEN Way","2007","94040","R1"
"$ 284.87","4","209","Miramonte","2","1","3","174","38","$1,368,800","07/22/2013","4,805","ML81326561","Mountain View","815.73","","","1,678","Canceled","936 VALENCIA Avenue","2009","94040","R1"
"$ 190.53","4","207","Downtown Mountain View","3","1","4","12","","$1,298,000","08/23/2012","6,970","ML81231464","Mountain View","575.39","09/04/2012","$1,328,000","2,308","Sold","265 MARIPOSA Avenue","2008","94041","R32"
"$ 260.91","4","206","San Antonio","2","1","3","165","50","$1,250,000","08/20/2011","4,791","ML81136509","Mountain View","677.87","","","1,844","Expired","284 MONROE Drive","2007","94040","R33"
"$ 392.49","4","207","Downtown Mountain View","2","1","3","7","135","$998,000","05/17/2012","2,688","ML81218573","Mountain View","590.37","05/24/2012","$1,055,000","1,787","Sold","139 Azalea Drive","2008","94041","R3-2*"
"$ 375.74","4","207","Downtown Mountain View","2","1","3","9","136","$985,000","04/10/2012","2,688","ML81213119","Mountain View","549.21","04/19/2012","$1,010,000","1,839","Sold","134 Azalea Drive","2008","94041","R3-2"
"$ 270.09","4","204","Rengstorff","3","0","4","3","140","$985,000","11/29/2011","3,647","ML81148824","Mountain View","422.93","12/02/2011","$985,000","2,329","Sold","831 WARNER Court","2008","94043","R32"
"$ 220.51","4","207","Downtown Mountain View","2","1","3","184","","$888,000","03/07/2011","4,027","ML81110049","Mountain View","464.92","","","1,910","Expired","1777 LATHAM Street","2007","94041","R325"
"$ 195.33","4","204","Rengstorff","3","0","4","26","100","$879,000","07/05/2010","4,500","ML81033039","Mountain View","539.26","","","1,630","Expired","1931 MONTECITO Avenue","2006","94043","R322"
"$ 441.18","5","209","Miramonte","2","1","4","14","58","$1,798,000","08/20/2014","4,080","ML81430398","Mountain View","800.00","09/03/2014","$1,800,000","2,250","Sold","944 RINCON Street","2009","94040","R1"
"$ 440.69","5","209","Miramonte","2","1","4","42","58","$1,798,000","06/04/2014","4,080","ML81419613","Mountain View","799.11","","","2,250","Canceled","944 RINCON Street","2009","94040","R1"
"$ 343.25","5","209","Miramonte","2","1","4","8","46","$1,598,000","05/07/2014","4,807","ML81415634","Mountain View","759.32","05/15/2014","$1,650,000","2,173","Sold","946 VALENCIA Avenue","2009","94040","R1"
"$ 190.83","5","209","Miramonte","3","0","4","8","","$1,598,000","10/12/2010","8,374","ML81049817","Mountain View","692.97","10/20/2010","$1,598,000","2,306","Sold","1259 MARILYN Court","2005","94040","R1"
"$ 296.75","5","207","Downtown Mountain View","3","0","6","9","","$1,395,000","05/04/2011","4,775","ML81119819","Mountain View","497.37","05/13/2011","$1,417,000","2,849","Sold","305 FRANKLIN Street","2006","94041","P19"
"$ 316.33","5","206","San Antonio","3","0","3","8","","$948,000","12/04/2014","3,920","ML81441622","Mountain View","981.79","12/12/2014","$1,240,000","1,263","Sold","128 FAIR OAKS Avenue","2009","94040","R1"
"$ 316.07","5","209","Miramonte","3","1","4","155","","$1,239,000","04/14/2010","3,920","ML81018180","Mountain View","464.39","","","2,668","Expired","962 BONITA Avenue","2005","94040","R31"
"$ 293.37","5","209","Miramonte","3","1","4","194","100","$1,150,000","09/21/2010","3,920","ML81046521","Mountain View","431.03","","","2,668","Canceled","962 BONITA Avenue","2005","94040","R31"
"$ 158.55","5","203","North Shoreline","2","0","3","10","","$849,000","07/10/2012","5,670","ML81225685","Mountain View","667.90","07/20/2012","$899,000","1,346","Sold","976 BURGOYNE Street","2007","94043","R1"
"","5","207","Downtown Mountain View","2","1","3","12","","$870,900","02/02/2012","0","ML81204076","Mountain View","468.59","02/14/2012","$895,000","1,910","Sold","1777 LATHAM Street","2007","94041","R325"
"$ 460.84","5","207","Downtown Mountain View","3","1","3","24","110","$865,000","08/02/2012","1,877","ML81228923","Mountain View","536.60","","","1,612","Expired","187 HAMWOOD Terrace","2007","94043","P32"
"$ 452.32","5","207","Downtown Mountain View","3","1","3","94","110","$849,000","09/06/2012","1,877","ML81232965","Mountain View","526.67","","","1,612","Expired","187 HAMWOOD Terrace","2007","94043","P32"
"$ 241.96","5","204","Rengstorff","3","0","4","8","100","$828,000","09/14/2011","3,484","ML81139617","Mountain View","505.09","09/22/2011","$843,000","1,669","Sold","1932 CAPPELLETTI Court","2006","94043","R322"
"$ 450.89","5","200","Whisman","3","1","3","43","109","$849,999","03/15/2012","1,863","ML81209740","Mountain View","521.09","04/27/2012","$840,000","1,612","Sold","179 HAMWOOD Terrace","2007","94043","P32"
"$ 482.20","5","207","Downtown Mountain View","3","1","3","23","","$840,000","07/10/2012","1,742","ML81225882","Mountain View","521.09","","","1,612","Canceled","187 HAMWOOD Terrace","2007","94043","P32"
"$ 239.23","5","203","North Shoreline","2","0","3","6","","$799,000","06/22/2011","3,344","ML81127814","Mountain View","567.38","06/28/2011","$800,000","1,410","Sold","896 WASHINGTON Street","2006","94043","R2"
"$ 222.86","5","203","North Shoreline","3","0","3","102","0","$780,000","08/01/2011","3,500","ML81133507","Mountain View","497.45","11/11/2011","$780,000","1,568","Sold","927 WASHINGTON Street","2006","94043","R2"
