"Group.1","x","Freq.x","x.x.0%","x.x.10%","x.x.20%","x.x.30%","x.x.40%","x.x.50%","x.x.60%","x.x.70%","x.x.80%","x.x.90%","x.x.100%","x.y","Freq.y"
"633",NA,NA, 320.16349, 338.69777, 357.23206, 375.76635, 424.89766, 489.32749, 553.75731, 624.11813, 706.34092, 788.56372, 870.78652, 489.3275,  4
"634",NA,NA, 375.80128, 424.99735, 434.35142, 455.06510, 472.36686, 503.30569, 530.97177, 536.48383, 557.99882, 644.89171, 785.12397, 503.3057, 10
"640",NA,NA,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.79487,1371.7949,  1
"641",NA,NA, 382.06628, 438.93418, 469.70798, 497.41365, 546.47600, 580.94500, 647.60943, 672.34924, 761.77745, 877.89544,1333.33333, 580.9450, 19
"642",NA,NA, 421.42230, 441.29297, 461.16363, 481.03430, 500.90496, 520.77563, 540.64630, 560.51696, 580.38763, 600.25829, 620.12896, 520.7756,  2
"650", 785.1935, 1, 574.71264, 609.91379, 626.02881, 627.59508, 627.75656, 694.58316, 766.12961, 782.81051, 964.07740,1175.52083,1390.62500, 694.5832,  8
"651", 639.9457, 2, 357.95455, 542.61905, 577.79592, 643.10606, 684.25221, 710.52632, 744.18335, 775.00000, 792.30769, 831.73077, 860.57692, 710.5263, 49
"652", 583.2148, 1, 473.36449, 522.76804, 527.13867, 582.01487, 590.63751, 602.04082, 653.99823, 693.51074, 742.03937, 815.17445, 841.34615, 602.0408, 27
"653",NA,NA, 403.36134, 436.28788, 446.69644, 451.17728, 461.24560, 492.60387, 518.12915, 561.26582, 636.46213, 647.14052, 709.37653, 492.6039, 24
"654", 590.0000, 1, 466.34615, 483.97530, 547.71875, 608.79953, 684.26573, 706.55738, 768.97383, 793.60806, 848.18216, 891.93878,1206.34921, 706.5574, 18
"655", 792.7187, 1, 442.50000, 446.02160, 492.51852, 563.60265, 588.82119, 599.14961, 611.53516, 643.95369, 735.06520, 807.30696, 841.34615, 599.1496,  8
"656",NA,NA, 781.89300, 789.13580, 796.37860, 800.95238, 802.85714, 804.76190, 808.57143, 812.38095, 819.57016, 830.13906, 840.70796, 804.7619,  5
"657", 592.5926, 1, 516.30435, 550.65359, 587.03704, 634.65608, 697.24556, 762.26415, 804.42187, 856.12102, 943.14754, 991.17429,1048.78049, 762.2642, 13
"658",NA,NA, 473.83601, 486.54880, 499.26158, 516.90818, 539.48857, 562.06897, 627.83967, 693.61037, 883.27991,1196.84829,1510.41667, 562.0690,  5
"659",NA,NA, 329.67033, 654.50394, 716.08379, 729.13737, 781.81151, 798.64865, 826.66739, 853.25520, 864.75599, 905.79915, 951.08696, 798.6486, 18
"660",NA,NA, 327.58621, 375.21359, 408.83394, 414.44025, 433.71398, 459.82143, 593.25061, 708.19587, 786.17330, 898.20856,1027.27273, 459.8214,  7
"661", 485.1974, 1, 384.03042, 481.10518, 485.05101, 485.28444, 558.68473, 584.65595, 611.17177, 617.66286, 622.20664, 643.03279, 880.73394, 584.6559, 14
"662",NA,NA, 400.79365, 464.29379, 520.41667, 564.47115, 572.05811, 599.78814, 660.84906, 681.31818, 698.95994, 713.55932, 728.78788, 599.7881, 14
"670",NA,NA, 463.33333, 473.23077, 483.12821, 493.02564, 502.92308, 512.82051, 565.09512, 617.36973, 669.64433, 721.91894, 774.19355, 512.8205,  3
"680",NA,NA,  97.80978, 472.53969, 497.99963, 523.43896, 583.36552, 609.13374, 636.29692, 672.72727, 704.54459, 721.18004, 772.72727, 609.1337, 33
"682",NA,NA, 437.67442, 478.49462, 493.97590, 552.23806, 608.69565, 624.11348, 633.33333, 682.60870, 700.89286, 726.41509, 740.90909, 624.1135, 21
"683",NA,NA, 396.17225, 553.90294, 592.25182, 638.80251, 669.56522, 678.26087, 681.95652, 688.64130, 692.52174, 699.92108, 722.68908, 678.2609, 10
"684",NA,NA, 427.74566, 489.50904, 513.34399, 576.06093, 597.91855, 621.91840, 648.44828, 681.09914, 685.96070, 700.53179, 750.86207, 621.9184, 20
"685",NA,NA, 375.70850, 496.77670, 518.96028, 548.17734, 565.18737, 574.71264, 640.45140, 668.11024, 685.49323, 696.15843, 727.27273, 574.7126, 23
"686",NA,NA, 442.85714, 554.25111, 587.87432, 592.83936, 600.43245, 624.11348, 659.19770, 696.45579, 737.83972, 788.57143, 857.14286, 624.1135,  9
"687",NA,NA, 450.49020, 542.71945, 608.53417, 649.24893, 653.67461, 679.06977, 735.00000, 747.55680, 775.52381, 794.86063, 845.74468, 679.0698, 19
"688",NA,NA, 450.17182, 496.19377, 557.56669, 593.58586, 627.38208, 687.72150, 706.08794, 711.19479, 716.71716, 735.00000, 768.51852, 687.7215, 20
"689",NA,NA, 317.85714, 416.64214, 497.63169, 563.14286, 622.51168, 651.70068, 666.29464, 693.94552, 720.14652, 763.76765, 879.12088, 651.7007, 25
"690",NA,NA,  78.50785, 451.37460, 492.61084, 556.76329, 586.33094, 610.45903, 657.65766, 694.38864, 753.24675, 776.34206, 927.77778, 610.4590, 76
"691",NA,NA, 371.42857, 411.28329, 439.32203, 443.72881, 474.38591, 518.16817, 623.93393, 699.94152, 716.43275, 732.97098, 749.53271, 518.1682,  7
"692",NA,NA, 427.92793, 439.33673, 454.01480, 472.35269, 506.85897, 544.30380, 561.63854, 606.46404, 618.68903, 652.66233, 831.32530, 544.3038, 23
"7", 387.3085, 1, 372.90843, 380.46430, 385.14493, 393.98636, 440.73113, 471.87692, 513.83253, 598.41171, 627.85163, 689.03451, 804.79452, 471.8769,  8
"700",NA,NA, 666.66667, 705.89361, 745.12055, 784.34749, 823.57444, 862.80138, 866.38228, 869.96318, 873.54408, 877.12498, 880.70588, 862.8014,  3
"720", 565.8114, 1, 565.81140, 596.06798, 626.32456, 656.58114, 714.22071, 785.55176, 856.88282, 913.10429, 939.10656, 965.10884, 991.11111, 785.5518,  4
"730",NA,NA,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.64039,1040.6404,  1
"740",NA,NA, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.58815, 699.5881,  1
"750",NA,NA,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.93473,1174.9347,  1
"770",NA,NA,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.64581,1537.6458,  1
"8", 604.3802, 9, 319.24460, 565.75111, 632.93105, 675.01266, 712.15349, 747.40099, 784.92386, 835.89744, 883.97681, 955.43358,1281.60418, 747.4010,485
"9", 454.1246,15, 267.18917, 417.45348, 462.46845, 501.92885, 533.62827, 566.76266, 599.61202, 649.62003, 683.68968, 753.95458,1639.34426, 566.7627,440
"9,911",NA,NA, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.84211, 736.8421,  1
"9,912",NA,NA, 380.06372, 398.70175, 417.33977, 435.97779, 454.61581, 473.25384, 491.89186, 510.52988, 529.16790, 547.80593, 566.44395, 473.2538,  2
"999",NA,NA, 344.39399, 464.01207, 521.92947, 571.39556, 615.57405, 660.39405, 711.33162, 773.33992, 855.03833, 961.29951,1358.13953, 660.3941,178
